,x,y,z,out
856,64,23,69,46.47
857,39,76,55,49.8
858,65,13,86,52.83
859,17,84,42,43.11
860,70,70,19,32.790000000000006
861,93,93,81,71.99999999999999
862,27,64,69,52.98
863,55,84,63,57.239999999999995
864,63,54,52,45.15
865,56,31,50,37.980000000000004
866,51,26,95,59.279999999999994
867,85,26,59,43.98
868,79,47,20,28.59
869,7,73,49,43.14
870,59,54,60,48.87
871,99,66,18,33.93
872,50,48,23,27.75
873,92,40,54,45.42
874,16,65,75,55.29
875,77,69,36,41.849999999999994
876,66,23,75,49.71
877,32,98,84,69.24
878,31,77,12,27.39
879,48,72,93,69.03
880,9,61,31,31.259999999999998
881,57,91,5,29.52
882,5,79,92,66.33000000000001
883,3,54,6,16.290000000000003
884,68,56,89,64.95
885,1,32,28,22.05
886,58,94,14,34.919999999999995
887,90,84,9,32.85
888,19,35,33,26.94
889,84,56,43,42.92999999999999
890,16,75,4,21.480000000000004
891,49,85,7,28.379999999999995
892,30,53,62,47.04
893,50,32,34,29.520000000000003
894,66,68,9,26.85
895,9,81,18,29.429999999999996
896,78,69,9,28.17
897,56,62,91,66.33
898,41,37,64,45.21
899,67,29,73,50.220000000000006
900,0,65,32,31.919999999999998
901,88,58,27,35.61
902,25,78,75,59.22
903,48,99,47,52.05
904,25,80,74,59.19
905,14,9,83,45.75
906,12,99,4,26.880000000000003
907,57,88,49,51.239999999999995
908,22,39,41,32.25
909,72,78,8,29.279999999999998
910,74,13,43,31.71
911,87,56,68,55.95
912,71,63,77,60.78000000000001
913,13,19,78,45.51
914,45,72,8,25.409999999999997
915,12,48,87,56.96999999999999
916,18,95,59,54.510000000000005
917,8,40,64,42.96000000000001
918,51,76,72,59.550000000000004
919,12,28,31,23.610000000000003
920,61,97,67,62.94
921,66,9,76,46.86
922,37,73,79,61.13999999999999
923,78,62,81,63.21
924,61,33,36,31.77
925,5,4,40,21.81
926,45,78,29,37.56
927,92,60,83,65.01
928,2,85,42,42.0
929,85,52,49,45.12
930,76,53,20,29.759999999999998
931,96,53,53,48.39000000000001
932,10,77,69,54.57
933,10,15,99,54.99
934,67,95,91,75.23999999999998
935,30,25,91,55.10999999999999
936,77,72,70,59.91
937,26,8,27,18.03
938,0,0,10,5.1
939,92,86,44,51.36
940,44,61,51,44.60999999999999
941,89,23,40,33.92999999999999
942,68,79,66,58.739999999999995
943,91,74,9,30.540000000000006
944,66,77,52,50.940000000000005
945,2,41,60,40.620000000000005
946,60,79,46,47.82
947,5,12,44,25.77
948,55,5,29,20.939999999999998
949,21,87,29,37.56
950,60,16,45,32.19
951,82,99,32,47.459999999999994
952,18,15,52,31.740000000000002
953,5,35,26,22.11
954,55,28,48,36.15
955,65,67,49,46.92
956,28,27,29,23.790000000000003
957,63,15,4,11.31
958,32,16,94,54.660000000000004
959,50,71,44,43.980000000000004
960,2,20,77,44.24999999999999
961,30,69,16,27.419999999999995
962,35,15,5,9.299999999999999
963,34,38,87,56.550000000000004
964,71,45,38,36.57000000000001
965,80,35,85,58.949999999999996
966,35,42,14,20.369999999999997
967,20,96,76,63.60000000000001
968,30,82,59,52.470000000000006
969,78,0,67,41.190000000000005
970,70,91,22,39.36
971,81,17,25,24.12
972,88,88,53,56.07
973,8,80,60,50.519999999999996
974,24,26,64,41.04
975,80,24,21,23.669999999999998
976,71,11,50,34.53
977,84,54,12,26.64
978,38,6,90,50.76
979,32,71,62,51.54
980,82,96,34,47.760000000000005
981,85,63,79,63.059999999999995
982,83,44,58,47.61
983,86,41,31,33.39
984,0,0,11,5.61
985,36,74,76,59.76
986,37,64,31,34.5
987,55,86,87,69.96
988,22,48,93,60.93000000000001
989,65,5,35,24.9
990,23,51,59,44.400000000000006
991,48,65,50,45.42
992,72,33,64,47.04
993,85,71,83,67.02000000000001
994,24,57,15,23.489999999999995
995,61,97,17,37.440000000000005
996,31,29,68,44.43
997,63,33,62,45.21
998,40,88,40,45.12
999,78,17,21,21.810000000000002
